offset,original_text,spanish_text,original_length,padding_available,real_max_length,encoding,category,translation,notes
0x00028780,"<0xFD><0x0F>'s type became
the same as <0xFD><0x10>'s!","<0xFD><0x0F>'s type became
the same as <0xFD><0x10>'s!",34,6,40,pokemon,dialogue,"<0xFD><0x0F> est du même type
que <0xFD><0x10> !",
0x000D06CB,G-|A,,4,0,4,ascii,other,,
0x00172482,"I might be little, but I won't like
it if you go easy on me!","I might be little, but I won't like
it if you go easy on me!",60,2,62,pokemon,dialogue,"Je suis peut-être petit, mais je
ne veux pas que tu me ménages !",
0x001724BF,"Oh, boo.
Nothing went right.","Oh, boo.
Nothing went right.",28,3,31,pokemon,other,"Oh, mince.
Rien n'a marché.",
0x001724DC,"I lost some of my allowance""","I lost some of my allowance""",28,3,31,pokemon,dialogue,J'ai perdu de mon argent de poche...,
0x001724F9,Did you know that Pokémon evolve?,Did you know that Pokémon evolve?,33,2,35,pokemon,dialogue,"Savais-tu que les Pokémon
évoluent ?",
0x0017251B,"Oh!
I lost!","Oh!
I lost!",11,2717,2728,pokemon,dialogue,"Oh !
J'ai perdu !",
0x00172FC3,"Only trainers who have proved
themselves worthy in battle may<0xFA>pass through here.<0xFB>...<0xFB>You are not worthy.","Only trainers who have proved
themselves worthy in battle may<0xFA>pass through here.<0xFB>...<0xFB>You are not worthy.",104,1924,2028,pokemon,dialogue,"Seuls les dresseurs qui ont
prouvé leur valeur en combat peuvent<0xFA>passer ici.<0xFB>...<0xFB>Tu n'es pas digne.",
0x00177364,"Who are you?
What are you doing here?","Who are you?
What are you doing here?",37,8,45,pokemon,dialogue,"Qui es-tu ?
Que fais-tu ici ?",
0x00177391,Whoa!,Whoa!,5,3,8,pokemon,dialogue,Ouah !,
0x00177397,"A statue with switch?
Never heard of it.","A statue with switch?
Never heard of it.",40,7,47,pokemon,dialogue,"Une statue avec un interrupteur ?
Jamais entendu parler.",
0x001773C6,"Do you know about the secrets this
mansion holds?","Do you know about the secrets this
mansion holds?",49,6,55,pokemon,dialogue,"Connais-tu les secrets de ce
manoir ?",
0x001773FD,I'll tell you.,I'll tell you.,14,85,99,pokemon,dialogue,Je vais te dire.,
0x00177460,A secret switch!<0xFB>Press it?,A secret switch!<0xFB>Press it?,26,2,28,pokemon,dialogue,Un interrupteur secret !<0xFB>L'actionner ?,
0x0017747B,Who wouldn't?,Who wouldn't?,13,2,15,pokemon,dialogue,Qui dirait non ?,
0x00177489,Not quite yet!,Not quite yet!,14,3,17,pokemon,dialogue,Pas tout de suite !,
0x00177498,I can't find Successor Maxima!,I can't find Successor Maxima!,30,21,51,pokemon,dialogue,"Je ne trouve pas
Successeur Maxima !",
0x001774CB,"Oh, no! I lost!","Oh, no! I lost!",15,9,24,pokemon,dialogue,"Oh, non ! J'ai perdu !",
0x001774E3,"There's a switch somewhere that
opens up a path to Maxima.","There's a switch somewhere that
opens up a path to Maxima.",58,442,500,pokemon,description,"Il y a un interrupteur quelque part
qui ouvre un passage vers Maxima.",
0x001776D7,Awooh!,Awooh!,6,2,8,pokemon,dialogue,Ahou !,
0x001776DE,"I probably won't get anywhere if I
keep standing here.","I probably won't get anywhere if I
keep standing here.",54,7298,7352,pokemon,dialogue,"Je n'irai sûrement nulle part si je
reste planté ici.",
0x00179FA0,"Be gone!
Malevolent spirit!","Be gone!
Malevolent spirit!",27,1,28,pokemon,dialogue,"Disparais !
Esprit malveillant !",
0x00179FBC,"Whew!
The spirit left!","Whew!
The spirit left!",22,2,24,pokemon,dialogue,"Ouf !
L'esprit est parti !",
0x00179FD3,"The others""
They must have been possessed.","The others""
They must have been possessed.",42,7,49,pokemon,description,"Les autres...
Ils ont dû être possédés.",
0x0017A004,"Ghost! No!
Kwaaah!","Ghost! No!
Kwaaah!",18,3,21,pokemon,dialogue,"Fantôme ! Oh non !
Kwaaah !",
0x0017A017,Where is the ghost?,Where is the ghost?,19,3,22,pokemon,dialogue,Où est le fantôme ?,
0x0017A02B,"I must have been dreaming""","I must have been dreaming""",26,11281,11307,pokemon,dialogue,J'ai dû rêver...,
0x0017CC56,<0xFD><0x02> min. <0xFD><0x03>.<0xFD><0x04> sec.,<0xFD><0x02> min. <0xFD><0x03>.<0xFD><0x04> sec.,18,1,19,pokemon,description,<0xFD><0x02> min. <0xFD><0x03>.<0xFD><0x04> s.,
0x0017D80D,"Hey!
How are you?<0xFB>Have you visited Professor Log's
laboratory yet?","Hey!
How are you?<0xFB>Have you visited Professor Log's
laboratory yet?",66,23,89,pokemon,dialogue,"Salut !
Comment ça va ?<0xFB>Tu es déjà allé au laboratoire du
Professeur Log ?",
0x0017D866,Log Pokémon Research Lab,Laboratorio Pokémon,24,2,26,pokemon,other,Labo de recherche du Prof. Log,
0x0017D86E,mon Research Lab,,16,2,18,pokemon,other,,
0x0017D87F,<0xFD><0x01>'s house,<0xFD><0x01>'s house,10,2,12,pokemon,other,Maison de <0xFD><0x01>,
0x0017D88A,<0xFD><0x06>'s house,<0xFD><0x06>'s house,10,9864,9874,pokemon,other,Maison de <0xFD><0x06>,
0x0017FF1C,"Aren't you boiling in those
clothes?","Aren't you boiling in those
clothes?",36,9,45,pokemon,dialogue,"Tu ne cuis pas dans ces
vêtements ?",
0x00180300,"Mmm""<0xFB>A park in the middle of a desert
city is so relaxing.<0xFB>Dehara City is just a wonderful
oasis paradise!","Mmm""<0xFB>A park in the middle of a desert
city is so relaxing.<0xFB>Dehara City is just a wonderful
oasis paradise!",106,6,112,pokemon,dialogue,"Mmm...<0xFB>Un parc en plein milieu d'une ville
du désert, c'est si reposant.<0xFB>Dehara est vraiment un merveilleux
paradis oasien !",
0x00183482,Valley Cave,Cueva Valle,11,124,135,pokemon,location,Grotte Vallée,
0x00183509,You beat me.,You beat me.,12,7,19,pokemon,dialogue,Tu m'as battu.,
0x0018351C,"I pride myself on how much I know
about bugs.","I pride myself on how much I know
about bugs.",45,23,68,pokemon,dialogue,"Je suis fière de mes grandes
connaissances en insectes.",
0x00183560,"Hi!
I like shorts!<0xFB>They're delightfully comfy and
easy to wear!","Hi!
I like shorts!<0xFB>They're delightfully comfy and
easy to wear!",63,3,66,pokemon,dialogue,"Salut !
J'aime les shorts !<0xFB>Ils sont tellement confortables et
faciles à porter !",
0x001835A0,I don't believe it!,I don't believe it!,19,3,22,pokemon,dialogue,Je n'y crois pas !,
0x001835B4,"Are you using a Pokémon Centre's
PC for storing your Pokémon?<0xFB>Each Box can hold up to
30 Pokémon.","Are you using a Pokémon Centre's
PC for storing your Pokémon?<0xFB>Each Box can hold up to
30 Pokémon.",97,55,152,pokemon,dialogue,"Tu utilises le PC du Centre Pokémon
pour stocker tes Pokémon ?<0xFB>Chaque Boîte peut contenir jusqu'à
30 Pokémon.",
0x0018364C,Please don't stare at me.,Please don't stare at me.,25,29,54,pokemon,other,"S'il te plaît, ne me fixe pas.",
0x00183682,"Are you a Trainer?
Let's get with it right away!","Are you a Trainer?
Let's get with it right away!",48,4,52,pokemon,dialogue,"Tu es Dresseur ?
On s'y met tout de suite !",
0x001836B3,"If I had new Pokémon, I would've
won!","If I had new Pokémon, I would've
won!",37,3,40,pokemon,dialogue,"Avec de nouveaux Pokémon, j'aurais
gagné !",
0x001836D9,"If a Pokémon Box on the PC gets
full, just switch to another Box.","If a Pokémon Box on the PC gets
full, just switch to another Box.",65,2,67,pokemon,description,"Si une Boîte PC est pleine,
change juste de Boîte.",
0x0018371B,"That look you gave me""
It's so intriguing!","That look you gave me""
It's so intriguing!",42,3,45,pokemon,dialogue,"Le regard que tu m'as lancé...
Tellement intrigant !",
0x00183746,Be nice!,Be nice!,8,3,11,pokemon,dialogue,Sois sympa !,
0x0018374F,"You can avoid battles by not
letting Trainers see you.","You can avoid battles by not
letting Trainers see you.",54,2,56,pokemon,dialogue,"Tu peux éviter les combats en
évitant le regard des Dresseurs.",
0x00183786,"Don't think you can get past me so
easily.","Don't think you can get past me so
easily.",42,13,55,pokemon,dialogue,"Ne crois pas pouvoir passer si
facilement.",
