Line 48: \p count mismatch (origin=1, fr=0)
Line 62: \l count mismatch (origin=1, fr=0)
Line 68: \p count mismatch (origin=3, fr=1)
Line 68: \l count mismatch (origin=1, fr=0)
Line 70: \p count mismatch (origin=2, fr=1)
Line 90: \p count mismatch (origin=1, fr=0)
Line 91: \p count mismatch (origin=1, fr=0)
Line 121: \p count mismatch (origin=1, fr=0)
Line 125: \p count mismatch (origin=2, fr=1)
Line 133: \l count mismatch (origin=1, fr=0)
Line 149: \p count mismatch (origin=1, fr=0)
Line 152: \p count mismatch (origin=1, fr=0)
Line 162: segment too long (38>36) ->  {PLAYER} a décidé d'accompagner Milo !
Line 235: \l count mismatch (origin=2, fr=1)
