# combined_it.txt — Italian translations for Pokémon Unbound (EN→IT)
#
# Same format as combined_fr.txt:  <offset_hex>: <text_IT>
#   \n  -> line break        \l -> <0xFA> (scroll)      \p -> <0xFB> (clear)
# Lines starting with '#' and blank lines are ignored.
# Offsets absent from this file keep their English text.
# Last entry wins for a duplicated offset (case-insensitive).
#
# Updated from d82a9dba-d0fc-4a43-b39a-6d0e0290e64e-Italian Translations (3).json
#
0x1660052: Ognuno di loro porta una maschera\nche era il suo volto quando era\lumano.
0x1663ae6: Si rilassa in luoghi stretti e bui\ned è noto che usi la tasca o la\lborsa del suo Allenatore come nido.
0x1664647: Adora la luce del sole. Quando\nprende regolarmente il sole, cresce\lcon una colorazione vivace.
0x1664709: Sparge spore che tremolano e\nbrillano. Chiunque veda queste luci\lcade in un sonno profondo.
0x166a997: Bulbasaur
0x166a9a2: Ivysaur
0x166a9ad: Venusaur
0x166a9b8: Charmander
0x166a9c3: Charmeleon
0x166a9ce: Charizard
0x166a9d9: Squirtle
0x166a9e4: Wartortle
0x166a9ef: Blastoise
0x166a9fa: Caterpie
0x166aa05: Metapod
0x166aa10: Butterfree
0x166aa1b: Weedle
0x166aa26: Kakuna
0x166aa31: Beedrill
0x166aa3c: Pidgey
0x166aa47: Pidgeotto
0x166aa52: Pidgeot
0x166aa5d: Rattata
0x166aa68: Raticate
0x166aa73: Spearow
0x166aa7e: Fearow
0x166aa89: Ekans
0x166aa94: Arbok
0x166aa9f: Pikachu
0x166aaaa: Raichu
0x166aab5: Sandshrew
0x166aac0: Sandslash
0x166aacb: Nidoran\sf
0x166aad6: Nidorina
0x166aae1: Nidoqueen
0x166aaec: Nidoran\sm
0x166aaf7: Nidorino
0x166ab02: Nidoking
0x166ab0d: Clefairy
0x166ab18: Clefable
0x166ab23: Vulpix
0x166ab2e: Ninetales
0x166ab39: Jigglypuff
0x166ab44: Wigglytuff
0x166ab4f: Zubat
0x166ab5a: Golbat
0x166ab65: Oddish
0x166ab70: Gloom
0x166ab7b: Vileplume
0x166ab86: Paras
0x166ab91: Parasect
0x166ab9c: Venonat
0x166aba7: Venomoth
0x166abb2: Diglett
0x166abbd: Dugtrio
0x166abc8: Meowth
0x166abd3: Persian
0x166abde: Psyduck
0x166abe9: Golduck
0x166abf4: Mankey
0x166abff: Primeape
0x166ac0a: Growlithe
0x166ac15: Arcanine
0x166ac20: Poliwag
0x166ac2b: Poliwhirl
0x166ac36: Poliwrath
0x166ac41: Abra
0x166ac4c: Kadabra
0x166ac57: Alakazam
0x166ac62: Machop
0x166ac6d: Machoke
0x166ac78: Machamp
0x166ac83: Bellsprout
0x166ac8e: Weepinbell
0x166ac99: Victreebel
0x166aca4: Tentacool
0x166acaf: Tentacruel
0x166acba: Geodude
0x166acc5: Graveler
0x166acd0: Golem
0x166acdb: Ponyta
0x166ace6: Rapidash
0x166acf1: Slowpoke
0x166acfc: Slowbro
0x166ad07: Magnemite
0x166ad12: Magneton
0x166ad1d: Farfetch'd
0x166ad28: Doduo
0x166ad33: Dodrio
0x166ad3e: Seel
0x166ad49: Dewgong
0x166ad54: Grimer
0x166ad5f: Muk
0x166ad6a: Shellder
0x166ad75: Cloyster
0x166ad80: Gastly
0x166ad8b: Haunter
