offset,original_text,original_length,padding_available,real_max_length,encoding,category,translation,notes
0x000D06CB,G-|A,4,0,4,ascii,other,,
0x0017D86E,mon Research Lab,16,1,17,pokemon,other,,
0x00183482,Valley Cave,11,124,135,pokemon,location,,
0x0018D42A,Take care now!,14,5,19,pokemon,dialogue,,
0x0018D480,"I better go, too.",17,1,18,pokemon,dialogue,,
0x0018D52D,s time to go!,13,1,14,pokemon,dialogue,,
0x0018D558,"re confused, ask for help!
Talk to people!",42,5314,5356,pokemon,dialogue,,
0x0018EB0D,"
Fancy.",7,209,216,pokemon,other,,
0x001969DC,"No?
Please come play sometime!",30,1,31,pokemon,dialogue,,
0x00196A12,t have a Coin Case.,19,1,20,pokemon,other,,
0x00196A26,"Whoops!
Your Coin Case is full.",31,1,32,pokemon,dialogue,,
0x00196A96,"s rumoured these machines are
rigged.",37,12,49,pokemon,description,,
0x00196D30,"s up?
Want some Coins?",22,1,23,pokemon,dialogue,,
0x00199445,Which move should be forgotten?,31,1,32,pokemon,dialogue,,
0x00199490,"?
That move should be forgotten?",32,1,33,pokemon,dialogue,,
0x001994DD, completely.,12,1,13,pokemon,other,,
0x001994EA,"Come again if there are other
moves to be forgotten.",52,1,53,pokemon,description,,
0x0019951F,"What?
No Egg should know any moves.",35,4021,4056,pokemon,dialogue,,
0x0019C148,"mon in the
Day-Care, it will get stronger too.",46,1,47,pokemon,description,,
0x001A2C48,mon.,4,23,27,pokemon,other,,
0x001A505B,We hope to see you again!,25,1,26,pokemon,dialogue,,
0x001A5077, booted up the PC.,18,1,19,pokemon,other,,
0x001A508A,Which PC should be accessed?,28,1,29,pokemon,dialogue,,
0x001A50B8,s PC.,5,1,6,pokemon,other,,
0x001A50C2,mon Storage System opened.,26,1,27,pokemon,other,,
0x001A50E9,s PC.,5,1,6,pokemon,other,,
0x001A50FD,s PC.,5,1,6,pokemon,other,,
0x001A5190,Please come again!,18,1,19,pokemon,dialogue,,
0x001A526E," put the Coins away in
the Coin Case.",37,1,38,pokemon,description,,
0x001A5422, booted up the PC.,18,1,19,pokemon,other,,
0x001A54C5,mon back to perfect health?,27,1,28,pokemon,dialogue,,
0x001A54FA,"mon for a
few seconds.",22,1,23,pokemon,other,,
0x001A5511,Stay safe out there!,20,6,26,pokemon,dialogue,,
0x001A5561,full health.,12,1,13,pokemon,other,,
0x001A558C,"
Would you like to Surf?",24,1,25,pokemon,dialogue,,
0x001A5C23,dex rated?,10,1,11,pokemon,dialogue,,
0x001A5C47,s PC.,5,1,6,pokemon,other,,
0x001A5EAC,mon to full health.,19,1,20,pokemon,other,,
0x001A5F88,We hope you excel!,18,1,19,pokemon,dialogue,,
0x001A5FCC,We hope you excel!,18,1,19,pokemon,dialogue,,
0x001A6211,"Hi, there!
May I help you?",26,1,27,pokemon,dialogue,,
0x001A6D68,mon!,4,1,5,pokemon,dialogue,,
0x001A6DA1,"ve given one of my AIDES a FLASH
HM. Make sure you go get it!",61,1,62,pokemon,dialogue,,
0x001A6E65,"ve given one of my AIDES an
ITEMFINDER. Be sure to collect it!",62,1,63,pokemon,dialogue,,
0x001A6ECF,"ve given one of my AIDES an
AMULET COIN. Be sure to get it!",59,1,60,pokemon,dialogue,,
0x001A6F33,"ve given one of my AIDES an EXP.
SHARE. Be sure to go get it!",61,1,62,pokemon,dialogue,,
0x001A6FA6,dex!,4,1,5,pokemon,dialogue,,
0x001A6FDB,mon by going fishing!,21,1,22,pokemon,dialogue,,
0x001A702A,t you?,6,1,7,pokemon,dialogue,,
0x001A7033,"m impressed!
It must have been difficult to do!",47,1,48,pokemon,dialogue,,
0x001A7089,t believe how good you are!,27,1,28,pokemon,dialogue,,
0x001A70CC,mon! Super!,11,1,12,pokemon,dialogue,,
0x001A70D8,"Excellent! Trade with friends to
get some more!",47,1,48,pokemon,dialogue,,
0x001A7119,ve become a real pro at this!,29,1,30,pokemon,dialogue,,
0x001A7162,mon PROFESSOR now!,18,1,19,pokemon,dialogue,,
0x001A717E,"dex is entirely complete!
Congratulations!!",43,1,44,pokemon,dialogue,,
0x001A71E3,mon owned.,10,1,11,pokemon,other,,
0x001A722A,dex!,4,1,5,pokemon,dialogue,,
0x001B2993,Face,4,3,7,pokemon,other,,
0x001B29A7,Torgnoles,9,4,13,pokemon,other,,
0x001B29C1,Ultimapoing,11,2,13,pokemon,other,,
0x001B29CD, Jackpot,8,6,14,pokemon,other,,
0x001B29D6,     Poing Feu,14,4,18,pokemon,other,,
0x001B29E5,   Poing Glace,14,2,16,pokemon,other,,
0x001B29FC,clair,5,1,6,pokemon,other,,
0x001B2A02,Griffe,6,7,13,pokemon,other,,
0x001B2A09,      Force Poigne,18,1,19,pokemon,other,,
0x001B2A1C,Guillotine,10,3,13,pokemon,other,,
0x001B2A27,  Coupe-Vent,12,3,15,pokemon,other,,
0x001B2A34,  Danse Lames,13,2,15,pokemon,other,,
0x001B2A42, Coupe,6,8,14,pokemon,other,,
0x001B2A49,       Tornade,14,6,20,pokemon,other,,
0x001B2A58,     Cru-Ailes,14,4,18,pokemon,other,,
0x001B2A67,   Cyclone,10,6,16,pokemon,other,,
0x001B2A72,     Vol,8,10,18,pokemon,other,,
0x001B2A85,treinte,7,5,12,pokemon,other,,
0x001B2A8D,    Souplesse,13,4,17,pokemon,other,,
0x001B2A9B,   Fouet Lianes,15,1,16,pokemon,other,,
0x001B2AAC,crasement,9,3,12,pokemon,other,,
0x001B2AB6,  Double Pied,13,2,15,pokemon,other,,
0x001B2AC4, Ultimawashi,12,2,14,pokemon,other,,
0x001B2ADD,  Mawashi Geri,14,1,15,pokemon,dialogue,,
0x001B2AEC,Jet de Sable,12,1,13,pokemon,location,,
0x001B2B00,Boule,5,1,6,pokemon,other,,
0x001B2B0B,Korne,5,3,8,pokemon,other,,
0x001B2B11,  Furie,7,8,15,pokemon,other,,
0x001B2B26,Korne,5,2,7,pokemon,other,,
0x001B2B2C, Charge,7,7,14,pokemon,other,,
0x001B2B34,      Plaquage,14,5,19,pokemon,other,,
0x001B2B43,    Ligotage,12,5,17,pokemon,other,,
0x001B2B56,lier,4,7,11,pokemon,other,,
0x001B2B5B,      Mania,11,8,19,pokemon,other,,
0x001B2B77,    Mimi-Queue,14,3,17,pokemon,other,,
0x001B2B86,  Dard-Venin,12,3,15,pokemon,other,,
0x001B2B93,  Double Dard,13,2,15,pokemon,other,,
0x001B2BB4,Yeux,4,4,8,pokemon,other,,
0x001B2BB9,   Morsure,10,6,16,pokemon,other,,
0x001B2BC4,     Rugissement,16,2,18,pokemon,other,,
0x001B2BD5, Hurlement,10,4,14,pokemon,other,,
0x001B2BE0,   Berceuse,11,5,16,pokemon,other,,
0x001B2BEC,    Ultrason,12,5,17,pokemon,other,,
0x001B2BF9,    Sonic Boom,14,3,17,pokemon,other,,
0x001B2C08,  Entrave,9,6,15,pokemon,other,,
0x001B2C12,     Acide,10,8,18,pokemon,other,,
0x001B2C2E,   LanceFlammes,15,1,16,pokemon,other,,
0x001B2C3E,Brume,5,8,13,pokemon,other,,
0x001B2C58,Hydrocanon,10,3,13,pokemon,other,,
0x001B2C63,  Surf,6,9,15,pokemon,other,,
0x001B2C6A,        Laser Glace,19,2,21,pokemon,other,,
0x001B2C7E, Blizzard,9,5,14,pokemon,other,,
0x001B2C88,    Rafale Psy,14,3,17,pokemon,other,,
0x001B2CB3,Ultralaser,10,3,13,pokemon,other,,
0x001B2CBE,  Picpic,8,7,15,pokemon,other,,
0x001B2CC7,      Bec Vrille,16,3,19,pokemon,other,,
0x001B2CD8,  Sacrifice,11,4,15,pokemon,other,,
0x001B2CE4,   Balayage,11,5,16,pokemon,other,,
0x001B2CF0,    Riposte,11,6,17,pokemon,other,,
0x001B2CFC,     Frappe Atlas,17,1,18,pokemon,other,,
0x001B2D0E,Force,5,8,13,pokemon,other,,
0x001B2D14,       Vole-Vie,15,5,20,pokemon,other,,
0x001B2D2A,ga-Sangsue,10,1,11,pokemon,other,,
0x001B2D35,Vampigraine,11,2,13,pokemon,other,,
0x001B2D41, Croissance,11,3,14,pokemon,other,,
0x001B2D56,Herbe,5,1,6,pokemon,other,,
0x001B2D5C,Lance-Soleil,12,1,13,pokemon,other,,
0x001B2D69,Poudre Toxik,12,1,13,pokemon,location,,
0x001B2D76,Para-Spore,10,3,13,pokemon,other,,
0x001B2D81,  Poudre Dodo,13,2,15,pokemon,other,,
0x001B2D8F, Danse Fleurs,13,1,14,pokemon,other,,
0x001B2DA2,tion,4,4,8,pokemon,other,,
0x001B2DA7,   Draco-Rage,13,3,16,pokemon,other,,
0x001B2DB5,  DanseFlammes,14,1,15,pokemon,other,,
0x001B2DC5,clair,5,7,12,pokemon,other,,
0x001B2DCB,      Tonnerre,14,5,19,pokemon,other,,
0x001B2DE4,clair,5,2,7,pokemon,other,,
0x001B2DEA, Fatal-Foudre,13,1,14,pokemon,other,,
0x001B2DF8,Jet-Pierres,11,2,13,pokemon,other,,
0x001B2E07,isme,4,7,11,pokemon,other,,
0x001B2E18,       Tunnel,13,7,20,pokemon,other,,
0x001B2E26,      Toxik,11,8,19,pokemon,other,,
0x001B2E32,       Choc Mental,18,2,20,pokemon,other,,
0x001B2E45, Psyko,6,8,14,pokemon,other,,
0x001B2E4C,       Hypnose,14,6,20,pokemon,other,,
0x001B2E5B,     Yoga,9,9,18,pokemon,other,,
0x001B2E72,        Vive-Attaque,20,1,21,pokemon,other,,
0x001B2E98,port,4,5,9,pokemon,other,,
0x001B2EA5,bres,4,5,9,pokemon,other,,
0x001B2EAA,    Copie,9,8,17,pokemon,other,,
0x001B2EB4,       Grincement,17,3,20,pokemon,other,,
0x001B2EC6,  Reflet,8,7,15,pokemon,other,,
0x001B2ECF,      Soin,10,9,19,pokemon,other,,
0x001B2EDA,        Armure,14,7,21,pokemon,other,,
0x001B2EE9,      Lilliput,14,5,19,pokemon,other,,
0x001B2EF8,    Brouillard,14,3,17,pokemon,other,,
0x001B2F07,  Onde Folie,12,3,15,pokemon,other,,
0x001B2F14,  Repli,7,8,15,pokemon,other,,
0x001B2F28,Armure,6,2,8,pokemon,other,,
0x001B2F2F, Bouclier,9,5,14,pokemon,other,,
0x001B2F4D,e Noire,7,3,10,pokemon,other,,
0x001B2F55,  Protection,12,3,15,pokemon,other,,
0x001B2F62,  Puissance,11,4,15,pokemon,other,,
0x001B2F6E,   Patience,11,5,16,pokemon,other,,
0x001B2F80,tronome,7,4,11,pokemon,other,,
0x001B2F88,   Mimique,10,6,16,pokemon,other,,
0x001B2F93,     Destruction,16,2,18,pokemon,other,,
0x001B2FB4,chouille,8,3,11,pokemon,other,,
0x001B2FC3,dpois,5,4,9,pokemon,other,,
0x001B2FCE,tritus,6,5,11,pokemon,other,,
0x001B2FE8,flagration,10,1,11,pokemon,other,,
0x001B2FF3,Cascade,7,6,13,pokemon,other,,
0x001B2FFB,     Claquoir,13,5,18,pokemon,other,,
0x001B3011,ores,4,5,9,pokemon,other,,
0x001B3025,  Picanon,9,6,15,pokemon,other,,
