offset,original_text,spanish_text,original_length,padding_available,real_max_length,encoding,category,translation,notes
0x0000C8CC,i<0xFB><0x01> <0x02>!<0xF7><0xF7>%<0xFB><0x02> <0x03>!<0xF7><0xF7>!<0xFB>Y<0xE0><0x88>F#<0x08>wZA<0x08>nZA<0x08> F#<0x08><0x01> <0xAA>!<0xF7><0xF7><0xB2><0xFD><0x02> <0xAA>!<0xF7><0xF7><0xAE><0xFD><0x03> <0xAA>!<0xF7><0xF7><0xAA><0xFD>)M,i<0xFB><0x01> <0x02>!<0xF7><0xF7>%<0xFB><0x02> <0x03>!<0xF7><0xF7>!<0xFB>Y<0xE0><0x88>F#<0x08>wZA<0x08><0xE9>M(<0x08> F#<0x08><0x01> <0xAA>!<0xF7><0xF7><0xB2><0xFD><0x02> <0xAA>!<0xF7><0xF7><0xAE><0xFD><0x03> <0xAA>!<0xF7><0xF7><0xAA><0xFD>)M,62,1,63,ascii,dialogue,,
0x0000C8CE,<0x01> <0x02>!<0xF7><0xF7>%<0xFB><0x02> <0x03>!<0xF7><0xF7>!<0xFB>Y<0xE0><0x88>F#<0x08>wZA<0x08>nZA<0x08> F#<0x08><0x01> <0xAA>!<0xF7><0xF7><0xB2><0xFD><0x02> <0xAA>!<0xF7><0xF7><0xAE><0xFD><0x03> <0xAA>!<0xF7><0xF7><0xAA><0xFD>)M,<0x01> <0x02>!<0xF7><0xF7>%<0xFB><0x02> <0x03>!<0xF7><0xF7>!<0xFB>Y<0xE0><0x88>F#<0x08>wZA<0x08><0xE9>M(<0x08> F#<0x08><0x01> <0xAA>!<0xF7><0xF7><0xB2><0xFD><0x02> <0xAA>!<0xF7><0xF7><0xAE><0xFD><0x03> <0xAA>!<0xF7><0xF7><0xAA><0xFD>)M,60,1,61,ascii,dialogue,,
0x0000C8D1,!<0xF7><0xF7>%<0xFB><0x02> <0x03>!<0xF7><0xF7>!<0xFB>Y<0xE0><0x88>F#<0x08>wZA<0x08>nZA<0x08> F#<0x08><0x01> <0xAA>!<0xF7><0xF7><0xB2><0xFD><0x02> <0xAA>!<0xF7><0xF7><0xAE><0xFD><0x03> <0xAA>!<0xF7><0xF7><0xAA><0xFD>)M,!<0xF7><0xF7>%<0xFB><0x02> <0x03>!<0xF7><0xF7>!<0xFB>Y<0xE0><0x88>F#<0x08>wZA<0x08><0xE9>M(<0x08> F#<0x08><0x01> <0xAA>!<0xF7><0xF7><0xB2><0xFD><0x02> <0xAA>!<0xF7><0xF7><0xAE><0xFD><0x03> <0xAA>!<0xF7><0xF7><0xAA><0xFD>)M,57,1,58,ascii,dialogue,,
0x0000C968,"4<0xFB><0x01><0x20><0xF7><0xF7><0x18><0xFB><0x02><0x20><0xF7><0xF7><0x15><0xFB><0x03><0x20><0xF7><0xF7><0x12><0xFB><0x01><0x20><0x02><0x21><0xF7><0xF7>T<0xFA><0x02><0x20><0x02><0x21><0xF7><0xF7>P<0xFA><0x03><0x20><0x03><0x21><0xF7><0xF7>L<0xFA><0x0B><0x48><0x42><0x46>W<0x19>O <0x09><0x18><0x0A><0x48><0x08><0x60><0x04>""<0x08>B<0x98><0x46>:B<0x01>B <0x47>  <0x88><0x46>ó<0x08><0x77><0x5A><0x41><0x08><0x6E><0x5A><0x41><0x08><0x97><0x5A><0x41><0x08><0x20><0x46>ó<0x08><0x90><0x50> <0x03>SO <0x08><0x30><0xB5>ç"" <0x06><0x04><0x0E><0x01><0x25><0x6D><0x42><0x28><0x1C><0xF4><0xF7><0x05><0xFB> <0x04> <0x14>7<0x42><0x14>V<0x0C><0x49><0xA0>  <0x19>F <0x40><0x18><0x0A><0x49><0x01><0x60><0x0A><0x48> <0x90><0x28><0x1C> <0x21><0x10><0x22> ó<0x63>:H<0xFD> <0x20><0xF4><0xF7>e","4<0xFB><0x01><0x20><0xF7><0xF7><0x18><0xFB><0x02><0x20><0xF7><0xF7><0x15><0xFB><0x03><0x20><0xF7><0xF7><0x12><0xFB><0x01><0x20><0x02><0x21><0xF7><0xF7>T<0xFA><0x02><0x20><0x02><0x21><0xF7><0xF7>P<0xFA><0x03><0x20><0x03><0x21><0xF7><0xF7>L<0xFA><0x0B><0x48><0x42><0x46>W<0x19>O <0x09><0x18><0x0A><0x48><0x08><0x60><0x04>""<0x08>B<0x98><0x46>:B<0x01>B <0x47>  <0x88><0x46>ó<0x08><0x77><0x5A><0x41><0x08>u<0x4D><0x28><0x08><0x97><0x5A><0x41><0x08><0x20><0x46>ó<0x08><0x90><0x50> <0x03>SO <0x08><0x30><0xB5>ç"" <0x06><0x04><0x0E><0x01><0x25><0x6D><0x42><0x28><0x1C><0xF4><0xF7><0x05><0xFB> <0x04> <0x14>7<0x42><0x14>V<0x0C><0x49><0xA0>  <0x19>F <0x40><0x18><0x0A><0x49><0x01><0x60><0x0A><0x48> <0x90><0x28><0x1C> <0x21><0x10><0x22> ó<0x63>:H<0xFD> <0x20><0xF4><0xF7>e",161,1,162,pokemon,description,,
0x0000C9A3,"""<0x08>B<0x98><0x46>:B<0x01>B <0x47>  <0x88><0x46>ó<0x08><0x77><0x5A><0x41><0x08><0x6E><0x5A><0x41><0x08><0x97><0x5A><0x41><0x08><0x20><0x46>ó<0x08><0x90><0x50> <0x03>SO <0x08><0x30><0xB5>ç"" <0x06><0x04><0x0E><0x01><0x25><0x6D><0x42><0x28><0x1C><0xF4><0xF7><0x05><0xFB> <0x04> <0x14>7<0x42><0x14>V<0x0C><0x49><0xA0>  <0x19>F <0x40><0x18><0x0A><0x49><0x01><0x60><0x0A><0x48> <0x90><0x28><0x1C> <0x21><0x10><0x22> ó<0x63>:H<0xFD> <0x20><0xF4><0xF7>e","""<0x08>B<0x98><0x46>:B<0x01>B <0x47>  <0x88><0x46>ó<0x08><0x77><0x5A><0x41><0x08>u<0x4D><0x28><0x08><0x97><0x5A><0x41><0x08><0x20><0x46>ó<0x08><0x90><0x50> <0x03>SO <0x08><0x30><0xB5>ç"" <0x06><0x04><0x0E><0x01><0x25><0x6D><0x42><0x28><0x1C><0xF4><0xF7><0x05><0xFB> <0x04> <0x14>7<0x42><0x14>V<0x0C><0x49><0xA0>  <0x19>F <0x40><0x18><0x0A><0x49><0x01><0x60><0x0A><0x48> <0x90><0x28><0x1C> <0x21><0x10><0x22> ó<0x63>:H<0xFD> <0x20><0xF4><0xF7>e",102,1,103,pokemon,description,,
0x0000C9A7,"<0x46>:B<0x01>B <0x47>  <0x88><0x46>ó<0x08><0x77><0x5A><0x41><0x08><0x6E><0x5A><0x41><0x08><0x97><0x5A><0x41><0x08><0x20><0x46>ó<0x08><0x90><0x50> <0x03>SO <0x08><0x30><0xB5>ç"" <0x06><0x04><0x0E><0x01><0x25><0x6D><0x42><0x28><0x1C><0xF4><0xF7><0x05><0xFB> <0x04> <0x14>7<0x42><0x14>V<0x0C><0x49><0xA0>  <0x19>F <0x40><0x18><0x0A><0x49><0x01><0x60><0x0A><0x48> <0x90><0x28><0x1C> <0x21><0x10><0x22> ó<0x63>:H<0xFD> <0x20><0xF4><0xF7>e","<0x46>:B<0x01>B <0x47>  <0x88><0x46>ó<0x08><0x77><0x5A><0x41><0x08>u<0x4D><0x28><0x08><0x97><0x5A><0x41><0x08><0x20><0x46>ó<0x08><0x90><0x50> <0x03>SO <0x08><0x30><0xB5>ç"" <0x06><0x04><0x0E><0x01><0x25><0x6D><0x42><0x28><0x1C><0xF4><0xF7><0x05><0xFB> <0x04> <0x14>7<0x42><0x14>V<0x0C><0x49><0xA0>  <0x19>F <0x40><0x18><0x0A><0x49><0x01><0x60><0x0A><0x48> <0x90><0x28><0x1C> <0x21><0x10><0x22> ó<0x63>:H<0xFD> <0x20><0xF4><0xF7>e",98,1,99,pokemon,description,,
0x0000D033, ú<0x08>  <0x8B><0x46>ó<0x08>x<0xB6><0x41><0x08><0xF3><0xB6><0x41><0x08><0x30><0xB5><0x04><0x1C><0x24><0x06><0x24><0x0E><0x0E><0x4D><0x28><0x68> èF<0x08><0x5C>:<0x98><0xFB><0x01><0x68><0x90><0x22><0x52> <0x0B><0x4B><0x20><0x1C><0xF4><0xF7><0xB5><0xFB><0x28><0x68> èF<0x08><0x5C>:<0x8C><0xFB><0x40><0x68><0x20><0x21><0x20><0x22><0x63>:<0xB9><0xF9><0x05><0x48> :'<0xF8><0x30>B<0x01>B <0x47>  <0x0C><0x50> <0x03><0xB1><0x01>  <0x38><0x46>ó<0x08> <0xB5><0x05><0x49> <0x20><0x20><0x22><0x42><0xF1><0x46>, ú<0x08>  <0x8B><0x46>ó<0x08><0x09><0x4E><0x28><0x08><0xF3><0xB6><0x41><0x08><0x30><0xB5><0x04><0x1C><0x24><0x06><0x24><0x0E><0x0E><0x4D><0x28><0x68> èF<0x08><0x5C>:<0x98><0xFB><0x01><0x68><0x90><0x22><0x52> <0x0B><0x4B><0x20><0x1C><0xF4><0xF7><0xB5><0xFB><0x28><0x68> èF<0x08><0x5C>:<0x8C><0xFB><0x40><0x68><0x20><0x21><0x20><0x22><0x63>:<0xB9><0xF9><0x05><0x48> :'<0xF8><0x30>B<0x01>B <0x47>  <0x0C><0x50> <0x03><0xB1><0x01>  <0x38><0x46>ó<0x08> <0xB5><0x05><0x49> <0x20><0x20><0x22><0x42><0xF1><0x46>,108,3,111,pokemon,description,,
0x0004EF84,<0x80>)<0x1B><0x08><0xC7><0x1E>&<0x08><0x07>I0<0x1C><0xB9><0xF7><0xF8><0xFE><0x06>I0<0x1C><0xB9><0xF7><0x04><0xFF><0x02><0xB0><0x18><0xBC><0x98>F<0xA1>F<0xF0><0xBC><0x01><0xBC>,<0x10><0x0A><0xA4><0x08><0xC7><0x1E>&<0x08><0x07>I0<0x1C><0xB9><0xF7><0xF8><0xFE><0x06>I0<0x1C><0xB9><0xF7><0x04><0xFF><0x02><0xB0><0x18><0xBC><0x98>F<0xA1>F<0xF0><0xBC><0x01><0xBC>,36,3,39,ascii,description,,
0x0006FDF8," <0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x2A>óD:<0x8A><0xFB><0x38>ú<0x28><0x78><0x49><0x46> <0x91><0x01><0x96>é<0x49><0x02><0x91> <0x21><0x02><0x22><0x3B><0x1C>D:<0x7E><0xFB><0x02><0x20><0x21><0x1C><0x02><0x22><0x88>:W<0xF8><0x28><0x78><0x41><0x46> <0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x3B><0x1C>D:í<0xFB><0x28><0x78><0x02><0x21><0x94><0xF7><0x6D><0xF8><0x03>""<0x18>B<0x98><0x46>0<0x46>:B<0x01>B <0x47><0x04><0x71><0x03><0x02>R<0x73><0x3A><0x08><0x1D><0x02>  <0x18><0x1D><0x02><0x02>h<0x73><0x3A><0x08>Z<0x73><0x3A><0x08><0x7A><0x61><0x41><0x08>ç<0x61><0x41><0x08>d<0x73><0x3A><0x08>ñ<0x08>  <0x88><0x61><0x41><0x08><0x90><0x61><0x41><0x08><0x10><0xB5><0x05><0x4C><0x20><0x78> <0x21><0x87>:<0x86><0xF8><0x20><0x78><0x93><0xF7>Y"," <0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x2A>óD:<0x8A><0xFB><0x38>ú<0x28><0x78><0x49><0x46> <0x91><0x01><0x96>é<0x49><0x02><0x91> <0x21><0x02><0x22><0x3B><0x1C>D:<0x7E><0xFB><0x02><0x20><0x21><0x1C><0x02><0x22><0x88>:W<0xF8><0x28><0x78><0x41><0x46> <0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x3B><0x1C>D:í<0xFB><0x28><0x78><0x02><0x21><0x94><0xF7><0x6D><0xF8><0x03>""<0x18>B<0x98><0x46>0<0x46>:B<0x01>B <0x47><0x04><0x71><0x03><0x02>R<0x73><0x3A><0x08><0x1D><0x02>  <0x18><0x1D><0x02><0x02>h<0x73><0x3A><0x08>Z<0x73><0x3A><0x08><0x15><0x4D><0x28><0x08><0x1D><0x4D><0x28><0x08>d<0x73><0x3A><0x08>ñ<0x08>  <0x31><0x4D><0x28><0x08>ú<0x4D><0x28><0x08><0x10><0xB5><0x05><0x4C><0x20><0x78> <0x21><0x87>:<0x86><0xF8><0x20><0x78><0x93><0xF7>Y",157,2,159,pokemon,description,,
0x0006FDF9,"<0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x2A>óD:<0x8A><0xFB><0x38>ú<0x28><0x78><0x49><0x46> <0x91><0x01><0x96>é<0x49><0x02><0x91> <0x21><0x02><0x22><0x3B><0x1C>D:<0x7E><0xFB><0x02><0x20><0x21><0x1C><0x02><0x22><0x88>:W<0xF8><0x28><0x78><0x41><0x46> <0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x3B><0x1C>D:í<0xFB><0x28><0x78><0x02><0x21><0x94><0xF7><0x6D><0xF8><0x03>""<0x18>B<0x98><0x46>0<0x46>:B<0x01>B <0x47><0x04><0x71><0x03><0x02>R<0x73><0x3A><0x08><0x1D><0x02>  <0x18><0x1D><0x02><0x02>h<0x73><0x3A><0x08>Z<0x73><0x3A><0x08><0x7A><0x61><0x41><0x08>ç<0x61><0x41><0x08>d<0x73><0x3A><0x08>ñ<0x08>  <0x88><0x61><0x41><0x08><0x90><0x61><0x41><0x08><0x10><0xB5><0x05><0x4C><0x20><0x78> <0x21><0x87>:<0x86><0xF8><0x20><0x78><0x93><0xF7>Y","<0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x2A>óD:<0x8A><0xFB><0x38>ú<0x28><0x78><0x49><0x46> <0x91><0x01><0x96>é<0x49><0x02><0x91> <0x21><0x02><0x22><0x3B><0x1C>D:<0x7E><0xFB><0x02><0x20><0x21><0x1C><0x02><0x22><0x88>:W<0xF8><0x28><0x78><0x41><0x46> <0x91><0x01><0x96><0x02><0x94> <0x21><0x3C><0x22><0x3B><0x1C>D:í<0xFB><0x28><0x78><0x02><0x21><0x94><0xF7><0x6D><0xF8><0x03>""<0x18>B<0x98><0x46>0<0x46>:B<0x01>B <0x47><0x04><0x71><0x03><0x02>R<0x73><0x3A><0x08><0x1D><0x02>  <0x18><0x1D><0x02><0x02>h<0x73><0x3A><0x08>Z<0x73><0x3A><0x08><0x15><0x4D><0x28><0x08><0x1D><0x4D><0x28><0x08>d<0x73><0x3A><0x08>ñ<0x08>  <0x31><0x4D><0x28><0x08>ú<0x4D><0x28><0x08><0x10><0xB5><0x05><0x4C><0x20><0x78> <0x21><0x87>:<0x86><0xF8><0x20><0x78><0x93><0xF7>Y",156,2,158,pokemon,description,,
